Date,Close,High,Low,Open,Volume
2020-01-02,72.7960,72.85661,71.54539,71.79987,135480400
2020-01-03,72.0883,72.85177,71.86290,72.02044,146322800
2020-01-06,72.85177,72.70149,70.95400,71.20607,118387200
2020-01-07,72.3210,72.92933,72.10043,72.67242,108872000
2020-01-08,73.4843,73.78730,72.02284,72.02284,132079200
2020-01-09,75.0452,75.23911,74.21389,74.46595,170108400
2020-01-10,75.2149,75.78203,74.71075,75.28032,140644800
2020-01-13,76.8218,76.84846,75.41363,75.53239,121532000
2020-01-14,75.7844,76.96963,75.66084,76.75877,161954400
2020-01-15,75.4597,76.46795,75.02584,75.58330,121923600
2020-01-16,76.4049,76.51640,75.64144,76.00500,108829200
2020-01-17,77.2508,77.25321,76.34675,76.65456,137816400
2020-01-21,76.7273,77.32108,76.58913,76.87755,110843200
2020-01-22,77.0012,77.55618,76.90662,77.21443,101832400
2020-01-23,77.3720,77.45195,76.50428,77.05447,104472000
2020-01-24,77.1490,78.36569,76.95752,77.61919,146537600
2020-01-27,74.8804,75.56389,73.89396,75.14944,161940000
2020-01-28,76.9987,77.17081,75.66569,75.76506,162234000
2020-01-29,78.6105,79.46120,77.89307,78.63715,216229200
2020-01-30,78.4966,78.54989,77.25563,77.68948,126743200
2020-01-31,75.0161,78.20814,74.72043,77.78399,199588400
2020-02-03,74.8101,75.98077,73.24926,73.75339,173788400
2020-02-04,77.2799,77.47135,76.01470,76.42188,136616400
2020-02-05,77.9100,78.71230,77.30412,78.41175,118826800
2020-02-06,78.8213,78.82377,77.62161,78.18149,105425600
2020-02-07,77.7500,78.56869,77.25678,78.31845,117684000
2020-02-10,78.1192,78.11923,76.24855,76.32872,109348800
2020-02-11,77.6479,78.69015,77.42926,78.61727,94323200
2020-02-12,79.4919,79.49675,78.09981,78.09981,113730400
2020-02-13,78.9258,79.25380,78.55654,78.76062,94747600
2020-02-14,78.9453,79.19549,78.43507,78.89424,80113600
2020-02-18,77.4997,77.68193,76.43319,76.61540,152531200
2020-02-19,78.6221,78.85293,77.74267,77.74267,93984000
2020-02-20,77.8155,78.87236,77.30779,78.38161,100566000
2020-02-21,76.0542,77.85200,75.43469,77.40741,129554000
2020-02-24,72.4416,73.89925,70.26721,72.21807,222195200
2020-02-25,69.9878,73.49841,69.51410,73.11456,230673600
2020-02-26,71.0981,72.36871,69.60398,69.61127,198054800
2020-02-27,66.4505,69.48251,66.31449,68.29207,320605600
2020-02-28,66.4117,67.63855,62.28402,62.50025,426510000
2020-03-02,72.5947,73.23360,67.47092,68.57876,341397200
2020-03-03,70.2891,73.85554,69.43392,73.77537,319475600
2020-03-04,73.5494,73.70977,71.21472,72.01887,219178400
2020-03-05,71.1637,72.77441,70.79684,71.79534,187572800
2020-03-06,70.2186,70.65352,68.32367,68.51073,226176800
2020-03-09,64.6649,67.56080,63.89475,64.07696,286744800
2020-03-10,69.3222,69.58942,65.44234,67.33003,285290000
2020-03-11,66.9146,68.32123,66.04726,67.39075,255598800
2020-03-12,60.3064,65.59538,60.25057,62.17956,418474000
2020-03-13,67.5317,68.00542,61.45316,64.35394,370732000
2020-03-16,58.8439,62.94241,58.30700,58.78075,322423600
2020-03-17,61.4313,62.58528,57.91829,60.13153,324056000
2020-03-18,59.9274,60.73646,57.60731,58.25112,300233600
2020-03-19,59.4683,61.42643,58.94110,60.10238,271857200
2020-03-20,55.6929,61.18105,55.39165,60.05135,401693200
2020-03-23,54.5098,55.51313,51.65272,55.41109,336752800
2020-03-24,59.9785,60.17526,56.92221,57.42268,287531200
2020-03-25,59.6481,62.74076,59.35167,60.91867,303602000
2020-03-26,62.7869,62.84523,59.85214,59.89102,252087200
2020-03-27,60.1874,62.16255,60.01977,61.40456,204216800
2020-03-30,61.9050,62.07752,60.59069,60.91624,167976400
2020-03-31,61.7787,63.77086,61.22236,62.09696,197002000
2020-04-01,58.5281,60.42549,58.09564,59.88615,176218400
2020-04-02,59.5047,59.55817,57.55387,58.38961,165934000
2020-04-03,58.6496,59.69179,58.05676,58.98725,129880000
2020-04-06,63.7660,63.92148,60.58584,60.95511,201820400
2020-04-07,63.0274,66.00838,62.92297,65.78972,202887200
2020-04-08,64.6406,64.95643,63.46475,63.83159,168895200
2020-04-09,65.1070,65.61238,64.30776,65.27954,161834800
2020-04-13,66.3849,66.49428,64.58229,65.18480,131022800
2020-04-14,69.7376,70.02914,67.55109,68.02484,194994800
2020-04-15,69.1011,69.56270,68.17791,68.60792,131154400
2020-04-16,69.6501,70.01698,68.59575,69.81776,157125200
2020-04-17,68.7051,69.71332,67.26199,69.16426,215250000
2020-04-20,67.2790,68.43298,67.25956,67.52680,130015200
2020-04-21,65.1994,67.35672,64.48509,67.12106,180991600
2020-04-22,67.0774,67.51465,66.12987,66.47241,116862400
2020-04-23,66.8174,68.44999,66.77852,67.02146,124814400
2020-04-24,68.7464,68.75611,67.29600,67.34460,126161200
2020-04-27,68.7950,69.12783,68.01270,68.46215,117087600
2020-04-28,67.6799,69.44121,67.58754,69.25900,112004800
2020-04-29,69.9028,70.37414,68.96991,69.17399,137280800
2020-04-30,71.3775,71.55482,70.05341,70.44455,183064000
2020-05-01,70.2284,72.64081,69.44607,69.54325,240616800
2020-05-04,71.2220,71.35078,69.56027,70.25266,133568000
2020-05-05,72.2910,73.12670,71.53783,71.68360,147751200
2020-05-06,73.0368,73.67090,72.60922,72.99551,142333600
2020-05-07,73.7924,74.13978,73.36235,73.66603,115215200
2020-05-08,75.5488,75.60234,74.12611,74.45497,133838400
2020-05-11,76.7375,77.23446,74.84471,75.05422,145946400
2020-05-12,75.8605,77.87759,75.73875,77.42448,162301200
2020-05-13,74.9446,76.96652,73.86300,76.04082,200622400
2020-05-14,75.4050,75.46591,73.45375,74.17969,158929200
2020-05-15,74.9592,75.00552,73.13221,73.16632,166348400
2020-05-18,76.7253,77.10050,75.59503,76.28930,135178400
2020-05-19,76.2820,77.59259,76.25034,76.74241,101729600
2020-05-20,77.7655,77.83618,77.10537,77.14435,111504800
2020-05-21,77.1858,78.16992,76.94703,77.62668,102688800
2020-05-22,77.6827,77.76554,76.82036,76.92267,81803200
2020-05-26,77.1565,78.98597,77.10049,78.80571,125522000
2020-05-27,77.4927,77.63886,76.26981,77.01281,112945200
2020-05-28,77.5268,78.79111,76.88857,77.16627,133560800
2020-05-29,77.4513,78.23327,77.09321,77.77043,153532400
2020-06-01,78.4038,78.52560,77.27347,77.40502,80791200
2020-06-02,78.7668,78.79113,77.69248,78.13584,87642800
2020-06-03,79.2004,79.46346,78.51340,79.08831,104491200
2020-06-04,78.5183,79.32216,78.14312,79.02253,87560400
2020-06-05,80.7546,80.81546,78.73996,78.76919,137250400
2020-06-08,81.2320,81.26613,79.73630,80.45005,95654400
2020-06-09,83.7972,84.19179,80.87879,80.91046,147712400
2020-06-10,85.9531,86.42322,84.30874,84.74966,166651600
2020-06-11,81.8264,85.51945,81.72411,85.09314,201662400
2020-06-12,82.5329,84.72530,81.41717,83.97500,200146000
2020-06-15,83.5535,84.20884,81.01763,81.18085,138808800
2020-06-16,85.7679,86.04076,83.97500,85.61689,165428800
2020-06-17,85.6486,86.57668,85.52675,86.51578,114406400
2020-06-18,85.6826,86.10164,85.07119,85.60469,96820400
2020-06-19,85.1930,86.85926,84.07975,86.39155,264476000
2020-06-22,87.4220,87.56571,85.54136,85.58765,135445200
2020-06-23,89.2880,90.71307,88.25023,88.67167,212155600
2020-06-24,87.7119,89.83852,87.33671,88.91526,192623200
2020-06-25,88.8763,88.91527,87.10530,87.86778,137522400
2020-06-26,86.1455,88.99324,85.99691,88.77156,205256800
2020-06-29,88.1309,88.22589,85.57305,86.05294,130646000
2020-06-30,88.8665,89.15400,87.69725,87.71674,140223200
2020-07-01,88.6985,89.49017,88.64975,88.94451,110737200
2020-07-02,88.6985,90.24779,88.58398,89.60955,114041600
2020-07-06,91.0712,91.54132,90.10162,90.13329,118655600
2020-07-07,90.7886,92.23316,90.67653,91.45119,112424400
2020-07-08,92.9031,92.93473,91.68261,91.77031,117092000
2020-07-09,93.3026,93.85312,92.25021,93.79953,125642800
2020-07-10,93.4658,93.52427,92.28189,92.89577,90257200
2020-07-13,93.0346,97.39754,92.82023,94.77636,191649200
2020-07-14,94.5742,94.76661,91.47553,92.41340,170989200
2020-07-15,95.2246,96.70815,94.02121,96.45724,153198000
2020-07-16,94.0529,94.91281,93.45119,94.09186,110577600
2020-07-17,93.8629,94.66188,93.38783,94.50598,92186800
2020-07-20,95.8410,95.97981,93.60467,93.95059,90318000
2020-07-21,94.5182,96.71059,94.26725,96.63507,103433200
2020-07-22,94.7837,95.46820,94.13082,94.21851,89001600
2020-07-23,90.4695,94.59367,89.65583,94.51572,197004400
2020-07-24,90.2454,90.59127,86.86414,88.65950,185438800
2020-07-27,92.3842,92.47676,91.08823,91.31234,121214000
2020-07-28,90.8665,92.13085,90.86167,91.95302,103625600
2020-07-29,92.6083,92.79346,91.31479,91.35133,90329200
2020-07-30,93.7289,93.83363,91.36836,91.77762,158130000
2020-07-31,103.5412,103.69225,98.24527,100.25257,374336800
2020-08-03,106.1502,108.78114,105.13196,105.43159,308151200
2020-08-04,106.8591,107.95534,105.61431,106.34025,173071600
2020-08-05,107.2464,107.56800,106.11125,106.57897,121776800
2020-08-06,110.9882,111.48515,106.98823,107.58019,202428800
2020-08-07,108.4648,110.96622,107.66432,110.50742,198045600
2020-08-10,110.0413,111.06383,107.37878,109.91683,212403600
2020-08-11,106.7687,109.80214,106.50756,109.30186,187902400
2020-08-12,110.3171,110.57575,107.66921,107.86444,165598000
2020-08-13,112.2694,113.27730,111.21269,111.70322,210082000
2020-08-14,112.1693,112.25964,110.35122,112.09369,165565200
2020-08-17,111.8765,113.32124,111.24688,113.29683,119561600
2020-08-18,112.8087,113.23581,111.29079,111.62757,105633600
2020-08-19,112.9503,114.37062,112.85511,113.21874,145538000
2020-08-20,115.4566,115.57133,112.97472,112.99180,126907200
2020-08-21,121.4064,121.89201,116.40837,116.42057,338054800
2020-08-24,122.8584,125.71616,120.98417,125.63074,345937600
2020-08-25,121.8505,122.19707,120.12026,121.72607,211495600
2020-08-26,123.5076,123.96639,122.10190,123.17325,163022400
2020-08-27,122.0311,124.44713,120.88167,124.11280,155552400
2020-08-28,121.8335,123.42949,121.60894,123.00974,187630000
2020-08-31,125.9651,127.87838,122.99753,124.53988,225702700
2020-09-01,130.9826,131.58783,127.41957,129.59643,151948100
2020-09-02,128.2688,134.69205,123.97370,134.31134,200119000
2020-09-03,117.9995,125.76983,117.62857,123.88583,257599600
2020-09-04,118.0776,120.75234,108.24759,117.20884,332607200
2020-09-08,110.1316,116.15456,109.99493,111.23466,231366600
2020-09-09,114.5244,116.30101,112.51347,114.46582,176940500
2020-09-10,110.7856,117.62859,109.81922,117.49193,182274400
2020-09-11,109.3311,112.48417,107.37879,111.83989,180860300
2020-09-14,112.6111,113.16751,110.11210,111.98634,140150100
2020-09-15,112.7868,115.99838,110.90276,115.51029,184642000
2020-09-16,109.4580,113.23583,109.37019,112.48418,154679000
2020-09-17,107.7107,109.52637,106.11954,107.10547,178011000
2020-09-18,104.2941,108.23784,103.56198,107.76928,287104900
2020-09-21,107.4569,107.56429,100.64323,102.04892,195713800
2020-09-22,109.1457,110.17064,106.55881,109.99493,183055400
2020-09-23,104.5674,109.43853,104.22577,108.96021,150718700
2020-09-24,105.6412,107.62282,102.49793,102.66387,167743300
2020-09-25,109.6045,109.76066,105.10432,105.84621,149981400
2020-09-28,112.2206,112.57203,110.09255,112.26942,137672400
2020-09-29,111.3713,112.56228,110.86374,111.82039,99382200
2020-09-30,113.0504,114.46581,110.91254,111.07849,142675200
2020-10-01,114.0070,114.91482,113.06986,114.83672,116120400
2020-10-02,110.3268,112.62083,109.54589,110.19992,144712000
2020-10-05,113.7239,113.87034,110.84421,111.19564,106243800
2020-10-06,110.4635,113.35294,109.57516,112.94295,161498200
2020-10-07,112.3377,112.79654,111.41037,111.88870,96849000
2020-10-08,112.2303,113.62627,111.85940,113.47984,83477200
2020-10-09,114.1827,114.21198,112.18154,112.53296,100506900
2020-10-12,121.4357,122.19707,116.43766,117.19908,240226800
2020-10-13,118.2143,122.40207,116.79885,122.28493,262330500
2020-10-14,118.3022,120.09831,116.76957,118.11668,150712000
2020-10-15,117.8336,118.31189,115.33458,115.89099,112559200
2020-10-16,116.1838,118.65356,115.97885,118.38999,115393800
2020-10-19,113.2163,117.55049,112.90393,117.10146,120639300
2020-10-20,114.7098,116.14481,112.87463,113.43105,124423700
2020-10-21,114.0851,115.88126,113.67511,113.88987,89946000
2020-10-22,112.9918,115.22720,111.85941,114.65126,101988000
2020-10-23,112.2987,113.77272,111.55681,113.61653,82572600
2020-10-26,112.3085,113.77272,110.19017,111.29325,111850700
2020-10-27,113.8215,114.48533,111.81062,112.73798,92276800
2020-10-28,108.5502,112.67940,108.45258,112.30846,143937800
2020-10-29,112.5720,114.14366,109.52637,109.69232,146129200
2020-10-30,106.2660,109.32136,105.15312,108.41353,190272600
2020-11-02,106.1781,108.04260,104.76266,106.51001,122866900
2020-11-03,107.8083,108.83329,106.13906,107.04690,107624400
2020-11-04,112.2108,112.83557,109.67278,111.42013,138235500
2020-11-05,116.1936,116.76958,114.08511,115.13937,126387100
2020-11-06,116.0616,116.56030,113.55829,115.69979,114457900
2020-11-09,113.7441,119.28853,113.48008,117.83153,154515300
2020-11-10,113.4019,114.98598,111.60260,112.99116,138023400
2020-11-11,116.8439,116.98078,113.86143,114.59482,112295000
2020-11-12,116.5701,117.86087,115.94427,116.97102,103162300
2020-11-13,116.6190,117.01991,115.25978,116.79501,81581900
2020-11-16,117.6360,118.31068,115.53357,116.28652,91183000
2020-11-17,116.7461,117.99775,116.32562,116.90256,74271000
2020-11-18,115.4162,117.16659,115.38689,115.98339,76322100
2020-11-19,116.0127,116.42341,114.22323,114.98596,74113000
2020-11-20,114.7415,116.13983,114.69260,116.01271,73604300
2020-11-23,111.3288,115.01531,111.23100,114.58505,127959300
2020-11-24,112.6196,113.28450,110.09669,111.38747,113874200
2020-11-25,113.4605,114.16457,112.61955,112.99114,76499200
2020-11-27,114.0081,114.88817,113.64630,113.98855,46691300
2020-11-30,116.4136,118.29112,114.22324,114.37970,169410200
2020-12-01,120.0024,120.73576,117.35238,118.33023,127728200
2020-12-02,120.3544,120.63798,118.21290,119.31787,89004200
2020-12-03,120.2175,121.03890,119.50367,120.78466,78967600
2020-12-04,119.5428,120.13925,118.82893,119.88501,78260400
2020-12-07,121.0096,121.81139,119.54277,119.60144,86712000
2020-12-08,121.6256,122.21231,120.36416,121.61582,82225500
2020-12-09,119.0832,123.16083,118.32045,121.77228,115089200
2020-12-10,120.5108,121.12689,117.48927,117.83151,81312200
2020-12-11,119.6992,120.04147,117.88041,119.71877,86939800
2020-12-14,119.0832,120.61841,118.84849,119.88502,79184500
2020-12-15,125.0481,125.06767,121.38115,121.58650,157243700
2020-12-16,124.9796,125.52724,123.75733,124.58851,98208600
2020-12-17,125.8499,126.71045,125.20455,126.04551,94359800
2020-12-18,123.8551,126.24109,123.32708,126.10419,192541500
2020-12-21,125.3904,125.46859,120.71621,122.25144,121251600
2020-12-22,128.9595,131.43349,126.77889,128.69549,168904800
2020-12-23,128.0599,129.49732,127.88387,129.23331,88223700
2020-12-24,129.0475,130.50449,128.19676,128.41189,54930100
2020-12-28,133.6630,134.29859,130.55341,131.02279,124486200
2020-12-29,131.8833,135.71647,131.36502,134.99287,121047300
2020-12-30,130.7588,132.97852,130.44587,132.57760,96452100
2020-12-31,129.7516,131.75619,128.80307,131.11080,99116600
2021-01-04,126.5442,130.65118,123.95288,130.56318,143301900
2021-01-05,128.1088,128.82261,125.58590,126.03572,97664900
2021-01-06,123.7964,128.14791,123.58132,124.89165,155088000
2021-01-07,128.0208,128.71507,125.02855,125.51748,109578200
2021-01-08,129.1257,129.69289,127.34603,129.49731,105158200
2021-01-11,126.1237,127.28740,125.65438,126.32910,100384500
2021-01-12,125.9477,126.81801,124.05068,125.65436,91951100
2021-01-13,127.9914,128.53904,125.64460,125.90861,88636800
2021-01-14,126.0553,128.09900,125.90860,127.90344,90221800
2021-01-15,124.3245,127.33629,124.18759,125.92818,111598500
2021-01-19,124.9992,125.85973,124.12892,124.95032,90757300
2021-01-20,129.1062,129.55604,125.70328,125.81085,104319500
2021-01-21,133.8390,136.57700,130.63164,130.83700,120150900
2021-01-22,135.9903,136.75304,132.02999,133.26209,114459400
2021-01-25,139.7551,141.87699,133.51633,139.90174,157611700
2021-01-26,139.9897,141.10450,138.23938,140.42000,98390600
2021-01-27,138.9141,141.10451,137.30065,140.25377,140843800
2021-01-28,134.0541,138.84561,133.67274,136.43030,142621100
2021-01-29,129.0377,133.71188,127.32649,132.82203,177523800
2021-02-01,131.1695,132.38203,128.03056,130.78812,106239800
2021-02-02,132.0006,133.29140,131.62905,132.72424,83305400
2021-02-03,130.9739,132.76338,130.65121,132.75360,89880900
2021-02-04,134.3475,134.35728,131.60951,133.28165,84183100
2021-02-05,133.9313,134.57764,133.04991,134.50910,75693800
2021-02-08,134.0782,134.12712,132.12931,133.21635,71297200
2021-02-09,133.1968,135.02811,133.04010,133.79416,76774200
2021-02-10,132.5896,134.15654,131.62010,133.65708,73046600
2021-02-11,132.3350,133.56894,131.00314,133.08907,64280000
2021-02-12,132.5701,132.72675,130.92481,131.57116,60145100
2021-02-16,130.4351,133.19680,130.04340,132.68757,80576300
2021-02-17,128.1337,129.48517,126.79205,128.53524,97918500
2021-02-18,127.0271,127.31111,124.77468,126.52765,96856700
2021-02-19,127.1838,128.00644,126.13594,127.54616,87668800
2021-02-22,123.3938,127.03688,123.00209,125.36224,103916400
2021-02-23,123.2568,124.08917,115.94126,121.20019,158273000
2021-02-24,122.7573,122.96295,119.70183,122.35578,111039900
2021-02-25,118.4875,123.84434,118.04679,122.10116,148199500
2021-02-26,118.7519,122.26763,118.69312,120.05437,164560400
2021-03-01,125.1468,125.28392,120.25023,121.19037,116307900
2021-03-02,122.5321,126.05760,122.42433,125.75401,102260900
2021-03-03,119.5353,123.10984,119.31988,122.22845,112966300
2021-03-04,117.6453,121.04350,116.16651,119.23177,178155000
2021-03-05,118.9086,119.41783,115.13821,118.47768,153766600
2021-03-08,113.9532,118.49724,113.80632,118.42869,154376600
2021-03-09,118.5854,119.53535,116.33299,116.56802,129525800
2021-03-10,117.4984,119.64307,116.97933,119.17300,111943300
2021-03-11,119.4374,120.66155,118.75189,120.00541,103026500
2021-03-12,118.5266,118.66373,116.69531,117.90966,88105100
2021-03-15,121.4254,121.43521,117.92926,118.89878,92403800
2021-03-16,122.9727,124.58862,122.14033,123.10006,115227900
2021-03-17,122.1795,123.25673,119.80953,121.48417,111932600
2021-03-18,118.0370,120.63218,117.83133,120.33838,121229700
2021-03-19,117.5081,118.91837,117.20456,117.42001,185549500
2021-03-22,120.8378,121.30792,117.77259,117.84114,111912300
2021-03-23,120.0054,121.67024,119.61368,120.77907,95467100
2021-03-24,117.6061,120.35796,117.58650,120.27962,88530500
2021-03-25,118.0957,119.14362,116.53864,117.06747,98844700
2021-03-26,118.7029,118.96733,116.46028,117.86070,94071200
2021-03-29,118.8792,120.04459,118.23286,119.13383,80819200
2021-03-30,117.4200,117.90967,116.40152,117.62567,85671900
2021-03-31,119.6235,120.96513,118.64416,119.13382,118323800
2021-04-01,120.4559,121.61149,119.95644,121.10225,75089100
2021-04-05,123.2959,123.55053,120.52444,121.30790,88651200
2021-04-06,123.5995,124.50047,123.05109,123.88351,80171300
2021-04-07,125.2545,125.27413,122.55163,123.22736,83466700
2021-04-08,127.6637,127.69303,125.86171,126.28281,88844600
2021-04-09,130.2491,130.28824,126.79208,127.11526,106686700
2021-04-12,128.5254,130.10214,127.92805,129.77896,91420000
2021-04-13,131.6494,131.87468,129.20114,129.70060,91266500
2021-04-14,129.2991,132.20770,128.93679,132.14895,87222800
2021-04-15,131.7180,132.20768,130.87581,131.05209,89347100
2021-04-16,131.3851,131.88453,130.52328,131.52219,84922400
2021-04-19,132.0510,132.66797,130.58202,130.74850,94264200
2021-04-20,130.3568,132.72674,129.08368,132.22729,94812300
2021-04-21,130.7387,130.98352,128.58420,129.62227,68847100
2021-04-22,129.2110,131.37525,128.69193,130.28821,84566500
2021-04-23,131.5418,132.32520,129.42644,129.42644,78657500
2021-04-26,131.9335,132.26645,130.79748,132.04121,66905100
2021-04-27,131.6103,132.60920,131.33608,132.21746,66015800
2021-04-28,130.8171,132.22728,130.32740,131.53196,107760100
2021-04-29,130.7191,134.23487,129.71042,133.64728,151101000
2021-04-30,128.7409,130.79748,128.35899,129.05429,109839500
2021-05-03,129.7986,131.29692,129.10325,129.30890,75135100
2021-05-04,125.2056,128.77031,124.07937,128.47651,137564700
2021-05-05,125.4504,127.75178,125.32308,126.52763,84000900
2021-05-06,127.0565,127.06630,124.50049,125.24477,78128300
2021-05-07,127.7333,128.76335,127.01720,128.36116,78973300
2021-05-10,124.4373,127.07610,124.39803,126.94858,88071200
2021-05-11,123.5152,123.86830,120.43487,121.15099,126142800
2021-05-12,120.4349,122.26931,119.92477,121.05290,112172300
2021-05-13,122.5930,123.75060,121.89655,122.21046,105861300
2021-05-14,125.0259,125.45750,123.45630,123.84869,81918000
2021-05-17,123.8683,124.51575,122.78923,124.40784,74244600
2021-05-18,122.4753,124.57461,122.40664,124.15279,63342900
2021-05-19,122.3184,122.54397,120.52316,120.81745,92612000
2021-05-20,124.8885,125.29072,122.72056,122.84809,76857100
2021-05-21,123.0443,125.56541,122.82847,125.38883,79295400
2021-05-24,124.6825,125.50654,123.54458,123.61325,63092900
2021-05-25,124.4863,125.87932,123.91735,125.38882,72009500
2021-05-26,124.4373,124.96700,124.01545,124.54518,56575900
2021-05-27,122.8971,125.21225,122.70094,124.03507,94625600
2021-05-28,122.2399,123.40724,122.18101,123.18161,71311100
2021-06-01,121.9161,122.96579,121.58262,122.70093,67637100
2021-06-02,122.6813,122.85791,121.69055,121.91617,59278900
2021-06-03,121.1902,122.47530,120.78802,122.30854,76229200
2021-06-04,123.4955,123.76041,121.49434,121.71015,75169300
2021-06-07,123.5053,123.91735,122.45569,123.77020,71057600
2021-06-08,124.3294,126.01665,123.80944,124.19202,74403800
2021-06-09,124.7119,125.32014,124.11353,124.79041,56877900
2021-06-10,123.7114,125.75180,123.54459,124.60404,71186400
2021-06-11,124.9278,125.01606,123.70154,124.12336,53522400
2021-06-14,127.9982,128.05710,124.65311,125.38884,96906500
2021-06-15,127.1742,128.11597,126.92898,127.46852,62746300
2021-06-16,127.6745,128.40042,126.01665,127.89031,91815000
2021-06-17,129.2833,130.02886,127.18401,127.33117,96721700
2021-06-18,127.9786,129.00862,127.76278,128.22384,108953300
2021-06-21,129.7836,129.89154,126.75241,127.82167,79663300
2021-06-22,131.4316,131.52974,129.11653,129.61684,74783600
2021-06-23,131.1570,131.76518,130.69591,131.22564,60214200
2021-06-24,130.8725,132.07911,130.40163,131.89273,68711000
2021-06-25,130.5782,131.34335,130.28389,130.92153,70783700
2021-06-28,132.2164,132.67746,130.81361,130.87246,62111300
2021-06-29,133.7370,133.89391,131.79462,132.23606,64556100
2021-06-30,134.3550,134.79642,133.28570,133.58000,63261400
2021-07-01,134.6591,134.71793,133.17778,134.00182,52485800
2021-07-02,137.2980,137.33719,135.12999,135.27713,78852600
2021-07-06,139.3187,140.42724,137.40583,137.40583,108181800
2021-07-07,141.8202,142.13414,139.94656,140.80981,104911600
2021-07-08,140.5155,141.31991,137.99439,138.88709,105575500
2021-07-09,142.3500,142.87968,139.93674,140.03485,99890800
2021-07-12,141.7516,143.53698,141.26110,143.42907,76299700
2021-07-13,142.8699,144.65526,140.89811,141.29050,100827100
2021-07-14,146.3131,146.72509,144.87102,145.28305,127050800
2021-07-15,145.6559,147.14695,144.29229,146.40141,106820300
2021-07-16,143.6056,146.91150,143.10531,145.63624,93251400
2021-07-19,139.7405,141.32972,138.97536,141.01580,121434600
2021-07-20,143.3702,144.30212,140.24087,140.73136,96350000
2021-07-21,142.6345,143.35059,141.87912,142.76199,74993500
2021-07-22,144.0078,145.38118,143.03664,143.16417,77338200
2021-07-23,145.7343,145.89129,144.12552,144.74355,71447400
2021-07-26,146.1562,146.98021,144.89072,145.44988,72434100
2021-07-27,143.9784,146.37200,142.78161,146.28370,104818600
2021-07-28,142.2224,144.17458,139.82883,142.05566,118931200
2021-07-29,142.8699,143.76257,141.83004,141.93795,56699500
2021-07-30,143.0857,143.54674,141.36896,141.63383,70440600
2021-08-02,142.7522,144.15496,142.48730,143.57619,62880000
2021-08-03,144.5572,145.22425,142.41865,143.03667,64786600
2021-08-04,144.1550,144.97897,143.49770,144.46887,56368300
2021-08-05,144.2629,145.02804,143.38981,144.18440,46397700
2021-08-06,143.5751,144.52813,143.07411,143.78147,54126800
2021-08-09,143.5260,144.12533,142.96604,143.63410,48908700
2021-08-10,143.0447,145.11765,142.74994,143.86993,69023100
2021-08-11,143.3001,144.14499,142.97587,143.48675,48493500
2021-08-12,146.2769,146.43407,143.28040,143.62426,72282600
2021-08-13,146.4832,146.81724,145.66778,146.35549,59375000
2021-08-16,148.4677,148.53652,143.89936,145.93302,103296000
2021-08-17,147.5541,149.01792,146.47338,147.59337,92229700
2021-08-18,143.7913,148.07475,143.58495,147.17090,86326000
2021-08-19,144.1253,145.40251,141.96393,142.48463,86960300
2021-08-20,145.5892,145.89374,144.20393,144.85235,60549600
2021-08-23,147.0825,147.55408,145.29444,145.70707,60131800
2021-08-24,146.9941,148.21232,146.53233,146.82706,48606400
2021-08-25,145.7562,147.68183,145.20606,147.18077,58991300
2021-08-26,144.9506,146.50286,144.92112,145.74639,48597200
2021-08-27,145.9920,146.13937,144.25306,144.89165,55802400
2021-08-30,150.4326,150.79615,146.00179,146.38495,90956700
2021-08-31,149.1653,150.11828,148.63477,149.98073,86453100
2021-09-01,149.8333,152.25998,149.66631,150.14772,80313700
2021-09-02,150.9533,152.00455,149.72526,151.16946,71115500
2021-09-03,151.5919,151.91616,150.40318,151.06142,57808700
